"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Diars Mining Limited","gemstones","42610","1","0","Manganese/Limestone (General)/Iron Ore","1","never_researched"
"Sunlight Estates Natural Development Limited","gemstones","42539","1","0","Lead/Mercury/Zinc","1","never_researched"
"Pendwe Mining Company Limited","gemstones","42439","2","1","Iron Ore/Gold/Copper","1","researched_no_channel"
"Samfuel Limited","gemstones","42435","2","0","Tantalum/Iron Ore/Tin","0","researched_no_channel"
"Black Impala Resources Limited","gemstones","42313","1","0","Malachite/Limestone (General)/Lead","0","never_researched"
"Cherish Minerals Zambia Limited","gemstones","42246","4","0","Gold/Nickel/Silver","0","researched_no_channel"
"KHAYBAR RESOURCES LIMITED","gemstones","42182","5","0","Gold/Manganese/Cobalt","0","researched_no_channel"
"Zambian West Mining Corporation","critical_battery","42085","1","0","Silver/Manganese/Zinc","0","never_researched"
"Kalupa Resources Limited","critical_battery","42005","2","0","Manganese/Silver/Gold","0","researched_no_channel"
"Luano Agricultural Development Limited","critical_battery","41856","1","0","Manganese/Silver/Zinc","0","never_researched"
"GOLD STONE MINING LIMITED","gemstones","41678","4","0","Quartz/Zinc/Nickel","0","researched_no_channel"
"Kabula Mining Resources Limited","base_metals","41621","2","2","Copper/","2","researched_no_channel"
"Cibakent Lithium Technology Limited","gemstones","41469","4","0","Gold/Copper/Cobalt","2","researched_no_channel"
"Together Resources Limited","gemstones","41417","4","0","Zinc/Iron Ore/Lead","0","researched_no_channel"
"G & G National Wide Import And Export Limited","critical_battery","41394","2","0","Tantalum/Nickel/Silver","2","researched_no_channel"
"Minetech Resources Limited","critical_battery","41187","2","1","Iron Ore/Silver/Zinc","1","researched_no_channel"
"Mujimanzovu Resources Limited","gemstones","41155","1","0","Mica/Gold/Quartz","0","never_researched"
"W.M.M Investments Limited","critical_battery","41010","1","0","Manganese/Lead/Nickel","0","never_researched"
"Commstack Investments Zambia Limited","critical_battery","40902","2","0","Nickel/Silver/Zinc","0","researched_no_channel"
"Famagusta Mining Corporation Limited","critical_battery","40623","4","0","Manganese/Iron Ore/Mica","4","researched_no_channel"
"Chereb Investment Limited","gold","40583","1","0","Lead/Silver/Zinc","1","never_researched"
"Kula Resources Limited","critical_battery","40464","1","0","Platinum Group Metals/Nickel/Zinc","0","never_researched"
"Abege Investments Limited","gemstones","40400","4","0","Copper/Gold/Cobalt","2","researched_no_channel"
"Handa Resources Limited","critical_battery","40217","2","1","Gold/Zinc/Cobalt","1","researched_no_channel"
"KINGBLUE INVESTMENTS LIMITED","gemstones","40197","3","0","Iron Ore/Zinc/Gold","1","researched_no_channel"
