"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"Aquilagreen Resource Limited","Mining of other non-ferrous metal ores","mining_related","no","120220043440","19/12/2022","43625","3","0","Copper/Gold/Nickel","1","0","1"
"Zahori Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120230046893","28/02/2023","43226","3","0","Lead/Quartz/Rare EarthsElements","1","1","1"
"Grand Seven Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120130109218","06/02/2013","42652","4","0","Quartz/Copper/Cobalt","1","1","4"
"Zambian United Mining Corporation Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120100086143","06/08/2010","42623","2","0","Manganese/Lead/Zinc","0","0","1"
"Diars Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120230048209","23/03/2023","42610","1","0","Manganese/Limestone (General)/Iron Ore","1","0","1"
"Pendwe Mining Company Limited","Other mining and quarrying n.e.c.","mining_related","no","120170008617","08/11/2017","42439","2","1","Iron Ore/Gold/Copper","0","0","1"
"Black Impala Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220033799","31/05/2022","42313","1","0","Malachite/Limestone (General)/Lead","1","0","0"
"Centrifugal Metals Limited","Other mining and quarrying n.e.c.","mining_related","no","120241014864","27/10/2024","42297","2","0","Quartz/Nickel/Mica","1","0","2"
"Cherish Minerals Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120241013731","05/10/2024","42246","4","0","Gold/Nickel/Silver","1","1","0"
"KHAYBAR RESOURCES LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241009737","10/07/2024","42182","5","0","Gold/Manganese/Cobalt","1","1","0"
"GOLD STONE MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241014592","18/10/2024","41678","4","0","Quartz/Zinc/Nickel","1","0","0"
"Kabula Mining Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120230059531","13/11/2023","41621","2","2","Copper/","1","0","2"
"Cibakent Lithium Technology Limited","Mining of other non-ferrous metal ores","mining_related","no","120241003460","07/03/2024","41469","4","0","Gold/Copper/Cobalt","1","0","2"
"Together Resources Limited","Support activities for other mining and quarrying","mining_related","no","120241013838","07/10/2024","41417","4","0","Zinc/Iron Ore/Lead","1","0","0"
