"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Tungsten ores and concentrates",,"2024","120","Metric ton (1000 kg)","879240.18",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tin ores and concentrates",,"2024","79","Dry metric tonnes","723711.56",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Waste and scrap",,"2024","350","Dry metric tonnes","720304.79",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tin ores and concentrates",,"2024","57031","Kilogram","626829.33",,"8","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tin ores and concentrates",,"2024","120","Metric ton (1000 kg)","530740.13",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Refined lead, unwrought",,"2024","227","Metric ton (1000 kg)","502367.23",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Brass, unwrought",,"2024","64.4","Dry metric tonnes","448049.80",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper, refined, unwrought, excl. copper in the form of billets, wire-bars, cathodes",,"2024","50","Dry metric tonnes","446461.27",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper, refined, unwrought, excl. copper in the form of billets, wire-bars, cathodes",,"2024","50","Metric ton (1000 kg)","426054.94",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Mixed sulphide and oxide",,"2024","1001","Metric ton (1000 kg)","420506.54",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
